"date","name","precip","lon","lat"
2019-07-04,"Gongar",14.6,86.22,27.84
2019-07-04,"Na",12.6,86.43,27.88
2019-07-04,"Simigaun",28.6,86.23,27.87
2019-07-04,"Singati",11.6,86.16,27.74
2019-07-05,"Beding",21,86.38,27.9
2019-07-05,"Dongang",38.2,86.29,27.9
2019-07-05,"Gongar",60.4,86.22,27.84
2019-07-05,"Na",6.2,86.43,27.88
2019-07-05,"Simigaun",61.4,86.23,27.87
2019-07-05,"Singati",60.6,86.16,27.74
2019-07-06,"Beding",3,86.38,27.9
2019-07-06,"Dongang",20,86.29,27.9
2019-07-06,"Gongar",49.6,86.22,27.84
2019-07-06,"Na",2,86.43,27.88
2019-07-06,"Simigaun",16.8,86.23,27.87
2019-07-06,"Singati",47.8,86.16,27.74
2019-07-07,"Beding",10.8,86.38,27.9
2019-07-07,"Dongang",16.4,86.29,27.9
2019-07-07,"Gongar",7,86.22,27.84
2019-07-07,"Na",9.2,86.43,27.88
2019-07-07,"Simigaun",6.8,86.23,27.87
2019-07-07,"Singati",10.4,86.16,27.74
2019-07-08,"Beding",40,86.38,27.9
2019-07-08,"Dongang",152,86.29,27.9
2019-07-08,"Gongar",6.8,86.22,27.84
2019-07-08,"Na",14.6,86.43,27.88
2019-07-08,"Simigaun",17.6,86.23,27.87
2019-07-08,"Singati",8.6,86.16,27.74
2019-07-09,"Beding",34.6,86.38,27.9
2019-07-09,"Dongang",69.8,86.29,27.9
2019-07-09,"Gongar",19.6,86.22,27.84
2019-07-09,"Na",7.6,86.43,27.88
2019-07-09,"Simigaun",28.8,86.23,27.87
2019-07-09,"Singati",1.8,86.16,27.74
2019-07-10,"Beding",14.8,86.38,27.9
2019-07-10,"Dongang",17.2,86.29,27.9
2019-07-10,"Gongar",12.4,86.22,27.84
2019-07-10,"Na",3.6,86.43,27.88
2019-07-10,"Simigaun",6,86.23,27.87
2019-07-10,"Singati",51.8,86.16,27.74
2019-07-11,"Beding",20.4,86.38,27.9
2019-07-11,"Dongang",43.6,86.29,27.9
2019-07-11,"Gongar",3.4,86.22,27.84
2019-07-11,"Na",4,86.43,27.88
2019-07-11,"Simigaun",5.8,86.23,27.87
2019-07-11,"Singati",3.8,86.16,27.74
2019-07-12,"Beding",30,86.38,27.9
2019-07-12,"Dongang",31.8,86.29,27.9
2019-07-12,"Gongar",50.4,86.22,27.84
2019-07-12,"Na",26.8,86.43,27.88
2019-07-12,"Simigaun",30,86.23,27.87
2019-07-12,"Singati",70.8,86.16,27.74
